Pet Name,Pet Birthday,Report AddedOn,Report EditOn,Report Temp,Report Reason,Report History,Report Examination,Report DiagnosticImaging,Report Lab,Report Diagnosis,Report Treatment,Report Plan,Report Prescription,Report Advice,Report Assessment,Report vitals,Report Note,Report Weight,Report WeightUnit,VisitExam ExaminationId,VisitExam ReportsId,VisitExam AddedOn,VisitExam Mentation,VisitExam Posture
lucy,2014-08-23,2024-08-23T17:00:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -",Anorexia,,,,,,,,"Liv 52( 2 tableys twice a day per orally  fopr 30 days)
Pet spark (10 ml per day per oraaly 30 days)",,,"T -
    PR -  
    HR -  
    RR -  
    MM -",,12.0,Kg,60.0,60.0,2024-09-10T18:48:00.700,,
Jerry,2024-05-23,2024-08-23T18:02:00.000,,"T -100F
    PR -  
    HR -  
    RR -  
    MM -",Unable to walk,,,,,,Digyton+( 1ml twice a day),,,,,"T -100F
    PR -  
    HR -  
    RR -  
    MM -",,1.5,Kg,61.0,61.0,2024-09-10T18:48:00.700,,
Tofu,2021-08-23,2024-08-24T15:52:00.000,,"T -102.4
    PR -  
    HR -  
    RR -  
    MM -",,,,,,,,,-Doxycycline (100MG * 3 times),,,"T -102.4
    PR -  
    HR -  
    RR -  
    MM -",,24.0,Kg,62.0,62.0,2024-09-10T18:48:00.700,,
Lucky,2021-08-27,2024-08-27T17:05:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -",-Inappetance followed by anorexia,,,,,ANAPLASMA -positive,,,,,BLOOD TEST (HIGH GPT),"T -
    PR -  
    HR -  
    RR -  
    MM -",,28.0,Kg,63.0,63.0,2024-09-10T18:48:00.700,,
Lucky,2021-08-27,2024-08-27T17:05:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -",-Inappetance followed by anorexia,,,,,ANAPLASMA -positive,,,,,BLOOD TEST (HIGH GPT),"T -
    PR -  
    HR -  
    RR -  
    MM -",,28.0,Kg,64.0,64.0,2024-09-10T18:48:00.700,,
Mickey,,2024-08-28T17:21:00.000,,"T -100
    PR -  
    HR -  
    RR -  
    MM -",-Limping since 2 days,-Limping,Palpat,,,- SPRAIN,"- MELOXICAM : 1.5 ML
MELOWIN TABLET : 2 .5MG ( 2 TAB ONCE A DAY AFTER MEAL )
RUMINFLU",,,,,"T -100
    PR -  
    HR -  
    RR -  
    MM -",,30.0,Kg,65.0,65.0,2024-09-10T18:48:00.700,,Palpat
puku,2021-08-17,2024-08-31T17:06:00.000,,"T -102.5
    PR -  
    HR -  
    RR -  
    MM -","-Lethergic
-Anorexia 
-Blood seen in urine
-Loss of appetite",,,,,,"-zit (1ml)
-meloxicam( 1ml)",,,_,,"T -102.5
    PR -  
    HR -  
    RR -  
    MM -",-unfriendly client,13.0,Kg,66.0,66.0,2024-09-10T18:48:00.700,,
LILY,,2024-08-31T17:14:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -",DOG BITE,,,,,,-VACCINE ARV,,,,- DRESSING WITH BETADINE AND MY SKIN LOTION,"T -
    PR -  
    HR -  
    RR -  
    MM -",,,Kg,67.0,67.0,2024-09-10T18:48:00.700,,
Punte,,2024-08-31T17:19:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -",- itching,-Rubbing anal to ground,,,,,-zeet : 1.5 ml,,,,- squeeze annal gland and dressing with betadine,"T -
    PR -  
    HR -  
    RR -  
    MM -",,12.0,Kg,68.0,68.0,2024-09-10T18:48:00.700,,
Lily,2020-08-31,2024-08-31T17:24:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -","-Itching
-folliculities",,,,,,"-MY skin spray
-dexa -1 ml
-zit-1 ml",,,,,"T -
    PR -  
    HR -  
    RR -  
    MM -",,8.0,Kg,69.0,69.0,2024-09-10T18:48:00.700,,
Lily,2020-08-31,2024-08-31T17:24:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -","-Itching
-folliculities",,,,,,"-MY skin spray
-dexa -1 ml
-zit-1 ml",,,,-Shaving,"T -
    PR -  
    HR -  
    RR -  
    MM -",,8.0,Kg,70.0,70.0,2024-09-10T18:48:00.700,,
Dawang,,2024-09-03T15:42:00.000,,"T -N
    PR -N  
    HR -  N
    RR -  N
    MM -","-skin irritation
-bacterial infection",,,,,-Epidermal Collarrette,-,,"-Vet pro skin and coat (50 gm once a day)
-My skin spray (On affected area twice a day)",,,"T -N
    PR -N  
    HR -  N
    RR -  N
    MM -",,9.0,Kg,71.0,71.0,2024-09-10T18:48:00.700,,
kali,2023-09-03,2024-09-03T15:48:00.000,,"T -N
    PR -N  
    HR -  N
    RR -  N
    MM -",Mange,-Itching,,,,,"-Ivamectin (0.2)
- Zet(1 ml)",,,,,"T -N
    PR -N  
    HR -  N
    RR -  N
    MM -",,3.0,Kg,72.0,72.0,2024-09-10T18:48:00.700,,
Shellay,2024-09-04,2024-09-04T13:37:00.000,,"T -N
    PR -N  
    HR -  N
    RR -  N
    MM -  N",- ALlergic reaction,-Skin itching,-Observation,,,-Skin allergy,- zet(2 ml),,,,,"T -N
    PR -N  
    HR -  N
    RR -  N
    MM -  N",,8.0,Kg,73.0,73.0,2024-09-10T18:48:00.700,,-Observation
Sweety,2024-09-04,2024-09-04T13:43:00.000,,"T -N
    PR -N  
    HR -  N
    RR -  N
    MM -  N",-Salivation,,,,,-Poisoning,"-zet (2ml)
-Atropine(0.3)",,,,,"T -N
    PR -N  
    HR -  N
    RR -  N
    MM -  N",,10.0,Kg,74.0,74.0,2024-09-10T18:48:00.700,,
romie,2024-09-04,2024-09-04T15:25:00.000,,"T -N
    PR -N
    HR -  N
    RR -  N
    MM -N",-NAIL PENETRATING SKIN,-SWOLLEN,OBSERVED,,,,"-MELOXICAM -( 1ML)
ZET -(1ML)
MELOWIN TABLET ( ONCE A DAY)",,,,,"T -N
    PR -N
    HR -  N
    RR -  N
    MM -N",,12.0,Kg,75.0,75.0,2024-09-10T18:48:00.700,,OBSERVED
romie,2024-09-04,2024-09-04T15:25:00.000,,"T -N
    PR -N
    HR -  N
    RR -  N
    MM -N",-NAIL PENETRATING SKIN,-SWOLLEN,OBSERVED,,,,"-MELOXICAM -( 1ML)
ZET -(1ML)
MELOWIN TABLET ( ONCE A DAY)",,,,- NAIL CUTTING AND DRESSING,"T -N
    PR -N
    HR -  N
    RR -  N
    MM -N",,12.0,Kg,76.0,76.0,2024-09-10T18:48:00.700,,OBSERVED
nammi,2024-05-04,2024-09-04T16:08:00.000,,"T -N
    PR -N  
    HR -  N
    RR -  N
    MM -  N",-Massskin of thoracic region,-,-Observation,,,,,,,-Massaging gently on area,-Xray,"T -N
    PR -N  
    HR -  N
    RR -  N
    MM -  N",,2.0,Kg,77.0,77.0,2024-09-10T18:48:00.700,,-Observation
Happy,2020-09-04,2024-09-04T16:23:00.000,,"T -N
PR -  N
    HR -N  
    RR -  N
    MM -  N",-PREGNANCY SUSPECTION,"-MATE 
SWOLLEN NIPPLES",,,,,,-SPAYING,,-SPAYING,- PALPATION OF STOMACH,"T -N
PR -  N
    HR -N  
    RR -  N
    MM -  N",AFTER 2-3 DAYS,22.0,Kg,78.0,78.0,2024-09-10T18:48:00.700,,
coco,,2024-09-05T17:51:00.000,,"T -N
    PR -N  
    HR -  N
    RR -  N
    MM -  N","-Skin irritation
-itching and redness",-Dandruff,,,,,"-Zet (3ml)
-My skin spray
-Ketoconazole soap",,,-Folliw up after 7 days,"-Shaving
-Cleaned with betadine 
-Trimming nails
-Anesthesia","T -N
    PR -N  
    HR -  N
    RR -  N
    MM -  N",,15.0,Kg,79.0,79.0,2024-09-10T18:48:00.700,,
KITSU,2024-09-07,2024-09-07T18:01:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -",-EYE SWOLLEN AND REDDISH,,,,,,"- EYE DROP
-VACCINATION (PHC+ARV)",,"-MOXYFUR-K EYE DROP
ONE DROP TWICE A DAY FOR 10 DAYS",,,"T -
    PR -  
    HR -  
    RR -  
    MM -",,3.5,Kg,80.0,80.0,2024-09-10T18:48:00.700,,
Happy,2020-09-07,2024-09-07T18:11:00.000,,"T - 
    PR -  
    HR -  
    RR -  
    MM -",- Swollen Mammary gland,-Chance of breeding,,,,,,,,-OVH ADVISED,,"T - 
    PR -  
    HR -  
    RR -  
    MM -",,22.0,Kg,81.0,81.0,2024-09-10T18:48:00.700,,
Nami,2024-05-07,2024-09-07T18:37:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -",- Lipoma,,,"- X RAY ASSESMENT
Normal indicates",,,,,,surgery if some problem,,"T -
    PR -  
    HR -  
    RR -  
    MM -",,1.5,Kg,82.0,82.0,2024-09-10T18:48:00.700,,
Jojo,2024-09-08,2024-09-08T19:44:00.000,,"T -N
    PR -N  
    HR -  N
    RR -  N
    MM -  N",-tumor,-Mass of skin seen on annal,,,,-Perineal tumor,"- Vitamin k (1 ML)
-ZEET inj (2 ML )",,,,-Blood test,"T -N
    PR -N  
    HR -  N
    RR -  N
    MM -  N",-Further treatment will be diagnosed by blood test and results,26.3,Kg,83.0,83.0,2024-09-10T18:48:00.700,,
Coco,2024-09-09,2024-09-09T14:36:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -","-Salivation
-Blood Vomition",,,- X ray of Thoracic cavity (Right lateral) : NAD,,,"- Normal Saline
- Atropine 0.5 ml IV",,,,,"T -
    PR -  
    HR -  
    RR -  
    MM -",,10.0,Kg,84.0,84.0,2024-09-10T18:48:00.700,,
SILK,2022-08-09,2024-09-09T15:00:00.000,2024-09-13T15:21:00.000,T -    PR -      HR -      RR -      MM -,"- Inappetance since 4 days
- heavy breathing
- Body warm
- Shivering",,,,,CANINE BABESIOSIS,IMIDOCARB DIPROPRIONATE,,"-DOXYCYCLINE 100 MG
THREE CAPSULE ONCE A DAY AFTER MEAL FOR 30 DAYS

- VET PRO RECOVERY
ONE PACKET ONCE A DAY FOR 1 DAY","FOLLOW UP ON 16TH SEPTEMBER,2024",SNAP TEST: BABESIA POSITIVE,,,30.0,Kg,85.0,85.0,2024-09-10T18:48:00.700,,
PINTU,2020-09-09,2024-09-09T17:52:00.000,2024-09-10T18:09:00.000,"T -N
    PR -N  
    HR -  N
    RR -  N
    MM -  N",- RIGHT ABDOMINAL HERNIA,- DOG FIGHT,,"- XRAY OF ABDOMEN
MYSENTRY SUSPECTED IN THE CONTENT",,,"-Surgery  of abdominal hernia (10 september)
-Tramadol-(1 ml)
-Zeet -(3ml)
-raniva (1ml) *2
-RL saline -full bottle",-  Surgery done and  will kept in observation for 1 month,,- SURGICAL CORRECTION,"-Cannula 
-surgery","T -N
    PR -N  
    HR -  N
    RR -  N
    MM -  N",-surgery on 10 th september,12.0,Kg,86.0,86.0,2024-09-10T18:48:00.700,,
Shelby,2019-09-10,2024-09-09T18:11:00.000,2024-09-09T18:18:00.000,"T -N
    PR -N  
    HR -  N
    RR -  N
    MM -  N",-Right face skin lesion,,observation,,,,"- ZEET INJ
- PROCABEN INJ
- DRESSING WITH BETADINE AND FLOTAS",,"- MY SKIN LOTION
Apply on affected area twice a day.",- Place E collar,,"T -N
    PR -N  
    HR -  N
    RR -  N
    MM -  N",-Doctors suggestions were implemented for observation,10.0,Kg,87.0,87.0,2024-09-10T18:48:00.700,,observation
Rex,,2024-09-10T18:23:00.000,2024-09-10T19:17:00.000,0,- limping,left hindlimb limping,,,,limping,-Meloxicam ( 1ml),will be kept in observation and plans will be applied after 2 days,,,-Observation for 2 days,,,12.0,Kg,88.0,88.0,2024-09-10T18:48:00.700,,
poco,2022-09-13,2024-09-13T16:12:00.000,,N,-Wound in left hindlimb,"-good appetite
-No limping 
-Wound in left sole",,Lacerated wound,,,-My skin (lotion),,,,,,,5.0,Kg,89.0,89.0,2024-09-13T16:15:19.790,,
JUJU,2016-09-15,2024-09-14T19:30:00.000,,101,-Anorexia since 1 day,- Travelling history to DHARAN (one day before),,,,- Gastritis,"- Raniva inj 2 ml sc
- chlorpheniramine malaete inj 1 ml sc",,,"if any further complication occurs, blood test is advisable",,,,10.5,Kg,90.0,90.0,2024-09-15T19:32:53.397,,
miko,2024-09-16,2024-09-16T10:22:00.000,2024-10-04T16:43:00.000,100,- alopecia,-itching,,,- skin scrapping test,- sarcoptes,"- ivermectin inj
0.1 ml sc

radicate spot on
0.5 ml topically",,"my skin spray
apply on affected are twice a day

ketofur shampoo
once in a 10 days",,,,healed at 3 weeks of injection,2.0,Kg,91.0,91.0,2024-09-16T10:24:21.970,,
vhutu,,2024-09-22T17:51:00.000,,100,"vomition
anorexia",lethargic,,,creatinine: 9 mg/dl,- Acute kidney failure,"Normal saline
Ondancetron 2m sc
ranitidine 1 ml sc
vitamink 1 ml Im",,,"prognosis guarded
hopitilized: 22nd september, 2024",Blood test,,,8.0,Kg,92.0,92.0,2024-09-23T17:53:41.163,,
khusi thapa,2021-03-23,2024-09-17T09:11:00.000,2024-09-25T18:39:00.000,,,,,,,,,,"- THYRONORM 50 MCG
ONE TABLET TWICE A DAY BEFORE MEAL FOR FIRST FIVE DAYS
- GLOSSY COAT 
10 ML TWICE A DAY X cont.
-MY SKIN SPRAY
Apply on affected area twice a day.",,,,"-thyronorm tablet was stopped on 24th September, 2024.
- Glossy coat and My skin Spray was continued as before.

25 September 
TT4 28 nmol/L (13-51)",10.0,Kg,93.0,93.0,2024-09-23T18:13:32.203,,
lily,2021-09-23,2024-09-18T18:16:00.000,,,- nasal bleeding,- presence of ticks,,,- snap test,- Ehrlichia and anaplasma positive,"- OTC
-Vitamink
- NS SALINE",,"- Doxycycline 100 mg capsule
one capsule twice a day for 30 days after meal per orally",,- Blood test,,,18.0,Kg,94.0,94.0,2024-09-23T18:18:29.830,,
kanchi,,2024-09-20T20:41:00.000,2024-09-27T16:44:00.000,,,,,,,,Neutering of cat,,,follow up after every 2 days for antibiotic,,,"antibiotic dose completed on 27 september, 2024",2.0,Kg,95.0,95.0,2024-09-23T20:42:25.197,,
hagu,2024-09-23,2024-09-19T18:46:00.000,,101,- Nasal discharge,,,,"-CDV AG TEST
NEGATIVE",- COLD,,,"-LIV 52 TABLET
ONE TABLET ONCE A DAY FOR 30 DAYS",,,,,2.0,Kg,96.0,96.0,2024-09-23T20:48:19.040,,
GEM,,2024-09-21T08:50:00.000,2024-09-27T16:38:00.000,104,- VULVA SWELLING,"-VALVULAR DISCHARGE
- APETITE NORMAL
- VULVAL DISCHARGE SINCE 5 MONTH AGO",,,,-PYOMETRA,- OVH,,"22, 23, 24, 25, 26, 27september, 2024
-D5 SALINE
-ONDANCETRON INJ
-CEFTRIAXONE 1 GM INJ
-ACILOC INJ
-Vitamin k inj",,"Creatinine 9.49 mg/dl
SGPT 201 U/L",,- PROGNOSIS: POOR,18.0,Kg,97.0,97.0,2024-09-23T20:53:06.090,,
snow,2024-09-23,2024-09-23T21:09:00.000,2024-10-02T19:11:00.000,101,- lethargic,"- nasal discharge
- no vomition
- no diarrhoea",,- x ray,"- panleukopenia test
negative",?Cat flu,- zeeet inj 0.2 ml sc,,"- clavum/enclave (5ml=200mg)
0.5 ml twice a day for 5 days after meal","- keep kitten in warm condition
- keep kittens with their mother.",,,"FOLLOW UP DONE AT 2ND OCTOBER
NORMAL",800.0,Gm,98.0,98.0,2024-09-23T21:34:06.360,,
Vegas,,2024-09-24T06:03:00.000,2024-10-31T16:39:00.000,101,-skin allergy,"- presence of flea
- applies alprocide spot on previously",,,,?flea allergic dermatitis,"-Ivermectin inn
1 ml sc

-Dexamethasone inj
2 ml im",,"simparica
glossy coat
fur free shampoo","second follow up: 30 october
next follow up: 7 november",,,,24.6,Kg,99.0,99.0,2024-09-24T21:05:46.820,,
TANGO,2020-07-30,2024-09-23T16:08:00.000,,101,Ear infection,,,,,Otitis externa,- cleansed with and applied Cipro drop,,"-cipro drop
Apply twice a day

- floats or Merton gel
Apply on affected area twice a day",,,,,31.4,Kg,100.0,100.0,2024-09-24T21:11:14.753,,
Carlos,,2024-09-24T19:18:00.000,2024-09-25T18:01:00.000,104,"- inappetance

- mucus stool

-pale urine",,,"X ray
? Hepatomegaly",,,"- Raniva inj
- omitron inj
- Vitamin Complex inj",,"- Vet pro gastrointestinal dry food
100 gm twice a day

- Vet pro Recovery
one packet once a day for 6 days

- Rkleen
10 ml once a day per orally for 14 days.",,"-blood withdrawn 
SGPT 232 U/L
SGOT 197 U/L",,,40.0,Kg,101.0,101.0,2024-09-24T21:19:54.457,,
coco,,2024-09-25T08:00:00.000,2024-09-27T16:33:00.000,,"-Polyphagia
-Nausea
- Vomition (+)","- polydypsia (-)
- Polyuria (-)
- Anaemia
- Seizure 3 month interval",,,,E canis postive,,,"26 TO 30 SEPTEMBER
-OTC
@7.5 mg/kg bet sc for 5 days 
-Ranitidine
2 ml SC for 5 days

1st october, 2024
-Doxycycline 100 mg capsule
one capsule twice a day for 30 days after meal
-Rabeprazole 20 mg
half tablet once a day for 30 days at empty stomach","- CBC
- LFT/LFT
- SNAP TEST
- THYROID TEST","Snap test
E canis/babesia/anaplasma test performed",,,14.0,Kg,102.0,102.0,2024-09-25T19:33:24.643,,
SNOFFY,,2024-09-26T16:29:00.000,2024-11-13T18:34:00.000,,- SKIN PROBLEM,,,,,,"IVERMECTIN INJ
DEXAMETHASONE INJ",,,,,,"HOME VISIT done twice weekly
third home visit on 12 November, 2024. hair was restored but dorsal surface of hip region is still hairless. Skin condition was blackish",,Kg,103.0,103.0,2024-09-27T16:29:58.920,,
lily,2021-09-23,2024-09-23T16:41:00.000,,,,,,,,Ecanis positive,,,"Doxycycline 100 mg
one capsule twice a day for 30 days after meal",,,,,18.0,Kg,104.0,104.0,2024-09-27T16:42:27.200,,
Fayona,2024-09-30,2024-09-29T17:56:00.000,,101,"-Anorexia
-lethargic","- Vomition
- Renal insuffieciency",,,- Creatinine 1.9 mg/dl,- kidney insufficiency,"-NS saline
- Ondancetron
-Ranitidine",,,- SALINE CONTINUE FOR 5 DAYS TWICE A DAY UNTILL VOMITION STOPS,,,,7.0,Kg,105.0,105.0,2024-09-30T17:58:39.030,,
puntus,,2024-09-29T18:13:00.000,,,- itching,- flea and ticks,,,,- flea allergic dermatitis,"- ivermectin inj
-chlropheniramine maleate inj
- alprocide spot on",,,,,,,22.0,Kg,106.0,106.0,2024-09-30T18:14:32.423,,
Maggie das,2021-09-30,2024-09-30T18:24:00.000,,,-Restlesness,,,,,,- diazepam,,"- anxocare
two tablet twice a day X Cont",,,,,12.0,Kg,107.0,107.0,2024-09-30T18:29:30.033,,
CHEW,,2024-09-30T18:52:00.000,,101,- IDIOPATHIC EPILEPSY (Mobile Vet),- Seizure,,,,- Hepatic encephalopathy,,,"- Rkleen
5 ml once a day X Cont

- Anxocare
one tablet twice a day X Cont",,,,,8.0,Kg,108.0,108.0,2024-09-30T18:53:26.897,,
tiger,,2024-09-30T20:29:00.000,,,"- skin problem
- Alopecia",- FLEA AND TICKS: NEGATIVE,,,,,"- Ivermectin inj 1 ml sc
- zeet inj 1.5 ml sc",,"- My skin lotion
- Ventriliv Pet",,,,- Mr. salim Alam ( Home visit),18.0,Kg,109.0,109.0,2024-09-30T20:31:14.523,,
Jasper,2024-04-16,2024-10-03T09:45:00.000,,,- Neuter,,,,,,-Castration,,"- Procaben LA inj
1 ml SC once a day for 2 days after surgery
-Zeet inj
As per requirement",- Place E collar to prevent licking,,,,,Kg,110.0,110.0,2024-10-03T09:46:55.717,,
winnie,,2024-10-03T20:22:00.000,,,- skin problem,"- fungal and skin infection
- ticks and flea",,,,,"- fluconazole (200mg/100 ml)
100 ml od iv 14 days

- Ceftriaz=xone 1 gm

- ivermectin weekly

- Dexamethasone weekly",,,,,,,13.0,Kg,111.0,111.0,2024-10-03T20:24:07.680,,
floppy,2019-10-05,2024-10-05T18:26:00.000,,,"-Ticks
-Fleas
-Flakes",- itching,,,,,"- Ivermectin 1.5 ml SC
- Dexamethasone 2 ml IM",,"- sheen & kleen
twice in a week and follow up after 7 days",,,,,18.0,Kg,112.0,112.0,2024-10-05T18:27:52.903,,
Sinzu,2023-04-05,2024-10-05T18:33:00.000,2024-10-10T13:19:00.000,,"-Anorexia/Inappetance since 1 days
-tear drop
-lethargic","- Vomition (+)
- Diarrhoea (-)
- Black stool
- Ticks and Flea: Negative recently but seen 4 months ago (acc. to owner)",,,,,"- Ranitidine inj
2ml SC","9 october 2024
-Liv 52 syrup
10 ml twice a day

- Digyton plus
10 ml twice a day

- Vet pro Gastro","- Immunol
5ml twice a day

- Moxyfur K
two drops twice a day",,,,,8.0,Kg,113.0,113.0,2024-10-05T18:34:57.767,,
sheri,,2024-10-05T19:49:00.000,2024-10-07T18:47:00.000,,"- pus in uterus
- anorexia",- heat 1 month ago,,"- X ray 
right lateral",,- Pyometra,"- Raniva inj
2 ml SC

7 th october surgery done ( successful)",,"7th october ,2024
-vet pro gastro
one packet each day for 5 days

- Liv 52 
one tab let twice a day for 30 days

- Procaben LA
1 ml SC q48h for 5 times",BLOOD TEST AND X RAY,,,,10.0,Kg,114.0,114.0,2024-10-05T19:50:51.877,,
MIsty,2016-10-07,2024-10-07T18:51:00.000,2024-10-08T14:25:00.000,,- Anorexia,- Foul smell from mouth,,,-CBC/KFT/LFT,,"- Raniva inj
- Ondancetron inj",,,,,,Normal Blood test,8.0,Kg,115.0,115.0,2024-10-07T18:53:05.547,,
kiwi,2023-10-10,2024-10-08T13:13:00.000,,100,"- Lump on abdominal area
- Humping","- Diarrhoea (-)
- Vomition (-)
-Appetite: Normal
- No ticks and flea
- Defecation and urination: Normal",,,,,"- Not necessary
- Humping due to playful nature or Advised for OVH
- Owner is planning for breeding",,"- Anxocare
two tablet twice a day",,,,,10.0,Kg,116.0,116.0,2024-10-10T13:17:04.040,,
Juli,2024-10-10,2024-10-10T13:27:00.000,,,- Eye problem,- All Vitals normal,,,,,,,"- Moxy fur K
- Simparica 20-40
half tablet",,,,,8.5,Kg,117.0,117.0,2024-10-10T13:27:47.550,,
cookie,2023-10-10,2024-10-10T13:29:00.000,,,"- Lethargic
- Emaciated","- Not interested on eating
- Vomition 2- 3 days ago
- Diarhoea (-)",,,,"- Folliculitis
fungal and Bacterial Infection","- Procaben LA inj
- Zeet inj",,"- My skin Spray
Apply on affected area twice a day

- Sheen and kleen shampoo
Bath at one week interval

- Vet pro skin and coat 1.2 kg
100 gm once a day",,,,,8.0,Kg,118.0,118.0,2024-10-10T13:32:47.137,,
Gucci,,2024-10-11T19:27:00.000,,,-Right eye Red,"- Skin problem
- Alopecia at dorsal part of tail region",,,- Glucose: 87.1 mg/dl,- ? Allergic reaction,,,"- Moxyfur K
two drop twice a day for 3 days

- Glossy coat
10 ml twice a day for 30 days",,,,,12.0,Kg,119.0,119.0,2024-10-11T19:30:42.720,,
Mota,2024-07-02,2024-10-09T20:52:00.000,,,- Fever,"- anorexia
- lethargic
- no vomition
- no diarrhoea",,,Ecanis positive,E canis,"Continue for 3 days
Normal saline, OXYTETRACYCLINE, Meloxicam, Raniva, Omitron

appetite was normal after 3 days",,"- Doxycycline 100 mg
Four capsule once a day after meal for 30 days",,,,HOME VISIT,34.0,Kg,120.0,120.0,2024-10-12T15:55:20.107,,
Tobby,2016-04-13,2024-10-13T16:55:00.000,,104.3,- Inappetite since  yesterday,"-seizure 
- hind limb paralysis",,,,,,,,"- CBC/KFT/LFT
- E canis/anaplasma/babesia",,,,8.0,Kg,121.0,121.0,2024-10-13T17:01:12.147,,
coco,,2024-10-13T17:11:00.000,,,- allergic skin rashes,- ticks and fleas: Negative,,,,,"- Ivermectin inj
- Dexamethasone inj",,"- Glossy coat
- Liv 52",,,,,6.0,Kg,122.0,122.0,2024-10-13T17:12:53.303,,
Leon,,2024-10-14T12:27:00.000,,,,,,,,,,,,,,,,,,,,,,
Leon,,2024-10-14T12:29:00.000,,,,,,,,,,,,,,,,,,,,,,
Tobby,2016-04-13,2024-10-14T15:11:00.000,,,,,,,,,,,,,,,,,,,,,,
Hero,2023-10-17,2024-10-17T14:08:00.000,,,- Diarrhoea,,,,,,,,"- Digyton plus
4 cap twice a day for 10 days

-Liv 52
15 ml twice a day for 10 days",,,,HOUSE VISIT,25.0,Kg,123.0,127.0,2024-10-17T14:10:01.340,,
ruby,,2024-10-17T14:23:00.000,,,- skin problem,,,,,,"- Iver
-Dexa",,"My skin spray
apply on affected area twice a day for 1 month",,,,HOME SERVICE BY YUROSH,12.0,Kg,124.0,128.0,2024-10-17T14:23:55.617,,
CAT,2024-09-02,2024-10-17T14:24:00.000,,,ABDOMINAL MUSCLE TEAR UP,,,,,,"- sutured
- cruciate suture (2 in no.)",,"- clavum/enclave (5ml =200 mg)
0.5 ml twice a day for 5 days",,,,,500.0,Gm,125.0,129.0,2024-10-17T14:26:52.283,,
genie,2017-10-19,2024-10-19T16:38:00.000,2024-10-31T16:40:00.000,,"- constipation
- inappetance",,,,,,"- Raniva inj
2 ml SC",,"- digyton plus
10 ml twice a day for 20 days

Laculax
25 ml morning and 15 ml evening",follow up call note: On healthy condition,,,,12.0,Kg,126.0,130.0,2024-10-19T16:39:32.950,,
ren,2015-10-19,2024-10-19T16:41:00.000,,,- loose stool with blood,,,,,,,,"- Ventriliv Pet
- Glossy coat",,"- skin examination
flea excreta present and skin was dry",,,18.0,Kg,127.0,131.0,2024-10-19T16:42:26.343,,
CoCo,2024-01-11,2024-10-23T17:03:00.000,,101,"- Inappetance
-Left Hind limb Limping","- vomition and diarhhoea (-) Negative
- no history of ticks and fleas
- hair shedding",,,-E canis/ Anaplasma/Babesia test: Negative,,- Dexamethasone 2.5 ml IM,,"- Glossy coat
10 ml twice a day after meal for 30 days in meal

- Melowin 2.5 tablet
two tablet once a day after meal for 5 days",,,,,25.0,Kg,128.0,132.0,2024-10-23T17:07:14.697,,
LUFY,2023-08-29,2024-10-23T17:09:00.000,2024-10-23T17:15:09.000,104,- Inappetance,- presence of ticks,,,- E canis/ Anaplasma/Babesia test: E canis and Anaplasma positive,- Ecanis and Anaplasma,"- Oxy INJ 
- RANIVA INJ",,,"follow up for antibiotic inj for 3 to 5 days and after 3-5 days, Doxycycline capusle is recommended for 30 days",,,,,Kg,129.0,133.0,2024-10-23T17:12:34.290,,
Lexy,2015-10-25,2024-10-25T18:27:00.000,,104,- Restlesness,"- No ticks and fleas
- No Vomition and Diarrhoea",,,,,"Meloxicam inj
Ranitidine inj",,"- Anxocare
two tablet twice a day for 30 days
-Rabeprazole 20 mg
one tablet once a day at empty stomach for 10 days
-Melowin tablet
one tablet once a day after meal for 10 days",,,,,22.0,Kg,130.0,134.0,2024-10-25T18:29:28.040,,
Preety,,2024-10-26T14:17:00.000,,,- Fall from bed,,,- x ray: NAD,,,,,"- Himpyrin
1ml twice a day after meal for 10 days",,,,,5.0,Kg,131.0,135.0,2024-10-26T14:17:57.220,,
lucky,,2024-10-26T19:52:00.000,,104,- lethargic,,,,,"- Ehrlichiosis
- Anaplasmosis
- Babesiosis","- NS
-RABITIDINE
- OTC
- DIAZEPAM",,,PROGNOSIS: POOR,- pin point hemorrhage on gums,,,25.0,Kg,132.0,136.0,2024-10-26T19:53:39.733,,
Lexy,2015-10-25,2024-10-27T17:49:00.000,,,,,,,,,,,,,,,,,,,,,,
CoCo,2024-01-11,2024-10-24T19:20:00.000,,,,,,,,,,,,,,,,,,,,,,
haku,2024-01-31,2024-10-31T16:14:00.000,2024-11-06T14:02:00.000,,-right hind limb limping,"vomition -
appetite -
urination: normal
stool: normal",,"x ray of left lateral
NAD",,- sprain,- Antiinfflammory inj,,"Glossy coat
5 ml per orally daily for 60 days

melolwin tab
1 tab daily per orally for 10 days",,,,"November 6 update through
all normal acc to owner",15.9,Kg,133.0,139.0,2024-10-31T16:16:44.123,,
